,destination region,source region,descendant tips,source node,# descendants,date_midbranch
0,GA,NON_GA,['|GA-EHC-050X'],NODE_0004472,1,2020.1776664235836
1,GA,NON_GA,"['|GA-EHC-110F', '|GA-EHC-041O', 'hCoV-19/USA/GA-QDX-581/2020|EPI_ISL_571292|2020-03-18']",NODE_0001881,3,2020.176724386904
2,GA,NON_GA,"['|GA-EHC-064L', 'hCoV-19/USA/GA_1621/2020|EPI_ISL_424858|2020-03-04']",NODE_0002626,2,2020.161739918838
3,GA,NON_GA,['hCoV-19/USA/GA-QDX-2426/2020|EPI_ISL_604698|2020-03-16'],NODE_0003928,1,2020.1780728329006
4,GA,NON_GA,"['hCoV-19/USA/GA-CDC-8816/2020|EPI_ISL_452120|2020-03-21', '|GA-EHC-115L', '|GA-EHC-114K', 'hCoV-19/USA/GA-UW-MAYO62/2020|EPI_ISL_500514|2020-03-18', '|GA-EHC-055C']",NODE_0001104,5,2020.1707650278222
5,GA,NON_GA,"['hCoV-19/USA/GA_2741/2020|EPI_ISL_419556|2020-02-29', 'hCoV-19/USA/GA_2742/2020|EPI_ISL_419557|2020-02-29']",NODE_0003355,2,2020.1563364035687
6,GA,NON_GA,['hCoV-19/USA/GA-QDX-684/2020|EPI_ISL_571429|2020-03-17'],NODE_0003989,1,2020.2056029804548
7,GA,NON_GA,['hCoV-19/USA/GA-QDX-2209/2020|EPI_ISL_604528|2020-03-15'],NODE_0001461,1,2020.1768508846335
8,GA,NON_GA,"['hCoV-19/USA/GA-QDX-2558/2020|EPI_ISL_604782|2020-03-14', '|GA-EHC-036J']",NODE_0002970,2,2020.1765576468997
9,GA,NON_GA,"['hCoV-19/USA/GA-QDX-2379/2020|EPI_ISL_604693|2020-03-16', 'hCoV-19/USA/GA-QDX-2421/2020|EPI_ISL_604696|2020-03-16', '|GA-EHC-031E', 'hCoV-19/USA/GA-QDX-2235/2020|EPI_ISL_604530|2020-03-15', 'hCoV-19/USA/GA-QDX-2511/2020|EPI_ISL_604780|2020-03-13', 'hCoV-19/USA/GA-QDX-1073/2020|EPI_ISL_571823|2020-03-18', 'hCoV-19/USA/GA-QDX-575/2020|EPI_ISL_571287|2020-03-17']",NODE_0000116,7,2020.1707650278222
10,GA,NON_GA,['hCoV-19/USA/GA_1299/2020|EPI_ISL_420787|2020-03-03'],NODE_0002622,1,2020.1598360660737
11,GA,NON_GA,['hCoV-19/USA/GA-QDX-1762/2020|EPI_ISL_604026|2020-03-16'],NODE_0000984,1,2020.132322924926
12,GA,NON_GA,"['|GA-EHC-034H', '|GA-EHC-049W']",NODE_0002128,2,2020.1970217737444
13,GA,NON_GA,['|GA-EHC-083E'],NODE_0000973,1,2020.1194427115752
14,GA,NON_GA,['hCoV-19/USA/GA-USAFSAM-S102/2020|EPI_ISL_812330|2020-03-22'],NODE_0004247,1,2020.208511381712
15,GA,NON_GA,['|GA-EHC-121R'],NODE_0001894,1,2020.2182965450224
