,destination region,source region,descendant tips,source node,# descendants,date_midbranch
0,GA,NON_GA,"['hCoV-19/USA/GA-QDX-1762/2020|EPI_ISL_604026|2020-03-16', '|GA-EHC-050X']",NODE_0003028,2,2020.1360830354329
1,GA,NON_GA,"['|GA-EHC-055C', 'hCoV-19/USA/GA-UW-MAYO62/2020|EPI_ISL_500514|2020-03-18', '|GA-EHC-114K']",NODE_0003323,3,2020.1707650278222
2,GA,NON_GA,['|GA-EHC-083E'],NODE_0002608,1,2020.1201668036351
3,GA,NON_GA,"['hCoV-19/USA/GA_1299/2020|EPI_ISL_420787|2020-03-03', 'hCoV-19/USA/GA-QDX-2558/2020|EPI_ISL_604782|2020-03-14', '|GA-EHC-036J', 'hCoV-19/USA/GA_2741/2020|EPI_ISL_419556|2020-02-29', 'hCoV-19/USA/GA_2742/2020|EPI_ISL_419557|2020-02-29']",NODE_0001571,5,2020.0888279580022
4,GA,NON_GA,['hCoV-19/USA/GA-QDX-2426/2020|EPI_ISL_604698|2020-03-16'],NODE_0003855,1,2020.177595628915
5,GA,NON_GA,['hCoV-19/USA/GA-USAFSAM-S102/2020|EPI_ISL_812330|2020-03-22'],NODE_0003716,1,2020.201049437513
6,GA,NON_GA,"['hCoV-19/USA/GA_1621/2020|EPI_ISL_424858|2020-03-04', '|GA-EHC-064L']",NODE_0002039,2,2020.1653005469484
7,GA,NON_GA,"['hCoV-19/USA/GA-QDX-2379/2020|EPI_ISL_604693|2020-03-16', 'hCoV-19/USA/GA-QDX-2421/2020|EPI_ISL_604696|2020-03-16']",NODE_0000317,2,2020.1734972682593
8,GA,NON_GA,"['|GA-EHC-034H', '|GA-EHC-049W']",NODE_0002900,2,2020.1910955460062
9,GA,NON_GA,"['|GA-EHC-115L', '|GA-EHC-041O', 'hCoV-19/USA/GA-QDX-581/2020|EPI_ISL_571292|2020-03-18', '|GA-EHC-112H', '|GA-EHC-121R', '|GA-EHC-110F', '|GA-EHC-016P']",NODE_0002627,7,2020.1318973627813
10,GA,NON_GA,['hCoV-19/USA/GA-QDX-2209/2020|EPI_ISL_604528|2020-03-15'],NODE_0002801,1,2020.1814710158665
11,GA,NON_GA,['hCoV-19/USA/GA-CDC-8816/2020|EPI_ISL_452120|2020-03-21'],NODE_0002938,1,2020.1993756353613
12,GA,NON_GA,['hCoV-19/USA/GA-QDX-575/2020|EPI_ISL_571287|2020-03-17'],NODE_0000366,1,2020.194096662261
13,GA,NON_GA,['hCoV-19/USA/GA-QDX-684/2020|EPI_ISL_571429|2020-03-17'],NODE_0003778,1,2020.2063195019489
14,GA,NON_GA,"['hCoV-19/USA/GA-QDX-1073/2020|EPI_ISL_571823|2020-03-18', '|GA-EHC-031E', 'hCoV-19/USA/GA-QDX-2511/2020|EPI_ISL_604780|2020-03-13', 'hCoV-19/USA/GA-QDX-2235/2020|EPI_ISL_604530|2020-03-15']",NODE_0000351,4,2020.1801246133991
