Parameter,Prior,Estimate (95% HPD)
Posterior,,-45680 (-45787 -45582)
Tree height,,0.240 (0.216 0.274)
Proportion invariant,"Uniform(0, 1)",0.764 (0.483 0.897)
UCLD Mean,"Normal(1.0e-3, 1.0e-4)",1.17e-03 (1.02e-03 1.32e-03)
UCLD $σ,Exponential(0.33),0.64 (0.40 0.88)
κ,"Lognormal(1.0, 1.25)",6.513 (5.058 8.292)
γ,Exponential(1.0),4.93e-01 (1.03e-03 2.38e+00)
Parameter,Prior,Estimate (95% HPD)
Posterior,,-43577 (-43652 -43508)
Tree height,,0.245 (0.216 0.287)
Proportion invariant,"Uniform(0, 1)",0.593 (0.098 0.883)
UCLD Mean,"Normal(1.0e-3, 1.0e-4)",1.05e-03 (8.91e-04 1.20e-03)
UCLD $σ,Exponential(0.33),0.68 (0.31 1.00)
κ,"Lognormal(1.0, 1.25)",6.303 (4.514 8.585)
γ,Exponential(1.0),4.58e-01 (1.55e-03 2.56e+00)
Parameter,Prior,Estimate (95% HPD)
Posterior,,-43851 (-43926 -43780)
Tree height,,0.245 (0.218 0.285)
Proportion invariant,"Uniform(0, 1)",0.715 (0.301 0.911)
UCLD Mean,"Normal(1.0e-3, 1.0e-4)",1.08e-03 (9.26e-04 1.24e-03)
UCLD $σ,Exponential(0.33),0.60 (0.24 0.93)
κ,"Lognormal(1.0, 1.25)",6.103 (4.512 8.079)
γ,Exponential(1.0),5.03e-01 (1.15e-03 2.36e+00)
Parameter,Prior,Estimate (95% HPD)
Posterior,,-43821 (-43893 -43753)
Tree height,,0.249 (0.219 0.293)
Proportion invariant,"Uniform(0, 1)",0.781 (0.455 0.920)
UCLD Mean,"Normal(1.0e-3, 1.0e-4)",1.06e-03 (9.12e-04 1.22e-03)
UCLD $σ,Exponential(0.33),0.62 (0.21 0.94)
κ,"Lognormal(1.0, 1.25)",6.644 (4.818 8.941)
γ,Exponential(1.0),4.57e-01 (1.09e-03 2.18e+00)
Parameter,Prior,Estimate (95% HPD)
Posterior,,-43741 (-43812 -43675)
Tree height,,0.249 (0.218 0.291)
Proportion invariant,"Uniform(0, 1)",0.758 (0.409 0.923)
UCLD Mean,"Normal(1.0e-3, 1.0e-4)",1.09e-03 (9.33e-04 1.24e-03)
UCLD $σ,Exponential(0.33),0.66 (0.35 0.95)
κ,"Lognormal(1.0, 1.25)",6.220 (4.446 8.205)
γ,Exponential(1.0),4.69e-01 (1.14e-03 2.41e+00)
Parameter,Prior,Estimate (95% HPD)
Posterior,,-43673 (-43742 -43604)
Tree height,,0.248 (0.217 0.291)
Proportion invariant,"Uniform(0, 1)",0.776 (0.442 0.920)
UCLD Mean,"Normal(1.0e-3, 1.0e-4)",1.08e-03 (9.22e-04 1.24e-03)
UCLD $σ,Exponential(0.33),0.55 (0.05 0.85)
κ,"Lognormal(1.0, 1.25)",6.196 (4.545 8.296)
γ,Exponential(1.0),4.43e-01 (1.03e-03 2.35e+00)
